Item,Value,comment1,GPIO_pin
PIN_SENSOR3_CFG_CCIR_VSHS,1048576,SN VD / HD (D_GPIO[11]/D_GPIO[12]),D_GPIO11[]|D_GPIO12[]
,,,
PIN_SENSORMISC_CFG_NONE,0,,
PIN_SENSORMISC_CFG_SN_MCLK_1,1,SN1_MCLK_1 (S_GPIO[0]),S_GPIO0[]
PIN_SENSORMISC_CFG_SN2_MCLK_1,16,SN2_MCLK_1 (S_GPIO[1]),S_GPIO1[]
PIN_SENSORMISC_CFG_SN2_MCLK_2,32,SN2_MCLK_2 (P_GPIO[18]),P_GPIO18[]
PIN_SENSORMISC_CFG_SN3_MCLK_1,256,SN3_MCLK_1 (S_GPIO[6]),S_GPIO6[]
PIN_SENSORMISC_CFG_SN4_MCLK_1,4096,SN4_MCLK_1 (S_GPIO[7]),S_GPIO7[]
PIN_SENSORMISC_CFG_SN4_MCLK_2,8192,SN4_MCLK_2 (P_GPIO[19]),P_GPIO19[]
PIN_SENSORMISC_CFG_SN_XVSXHS_1,65536,SN1_XVSXHS_1 (S_GPIO[2..3]),S_GPIO2[]|S_GPIO3[]
PIN_SENSORMISC_CFG_SN2_XVSXHS_1,131072,SN2_XVSXHS_1 (S_GPIO[8..9]),S_GPIO8[]|S_GPIO9[]
PIN_SENSORMISC_CFG_SN3_XVSXHS_1,262144,SN3_XVSXHS_1 (P_GPIO[19..20]),P_GPIO19[]|P_GPIO20[]
PIN_SENSORMISC_CFG_SN4_XVSXHS_1,524288,SN4_XVSXHS_1 (P_GPIO[21..22]),P_GPIO21[]|P_GPIO22[]
PIN_SENSORMISC_CFG_FLASH_TRIG_IN_1,1048576,FLASH_TRIG_IN_1 (S_GPIO[14]),S_GPIO14[]
PIN_SENSORMISC_CFG_FLASH_TRIG_IN_2,2097152,FLASH_TRIG_IN_2 (S_GPIO[6]),S_GPIO6[]
PIN_SENSORMISC_CFG_FLASH_TRIG_OUT_1,4194304,FLASH_TRIG_OUT_1 (S_GPIO[15]),S_GPIO15[]
PIN_SENSORMISC_CFG_FLASH_TRIG_OUT_2,8388608,FLASH_TRIG_OUT_2 (S_GPIO[7]),S_GPIO7[]
PIN_SENSORMISC_CFG_ME_SHUT_IN_1,16777216,MSH_1 (S_GPIO[13]),S_GPIO13[]
PIN_SENSORMISC_CFG_ME_SHUT_IN_2,33554432,MSH_2 (S_GPIO[8]),S_GPIO8[]
PIN_SENSORMISC_CFG_ME_SHUT_OUT_1,67108864,MSH_1_SHUT0 / MSH_1_SHUT1 (P_GPIO[0..1]),P_GPIO0[]|P_GPIO1[]
